,监测点编码,监测点名称,城市,经度,纬度
254,1328A,武昌紫阳,武汉,114.3006,30.5494
255,1654A,监测站,济宁,116.5856,35.4144
256,1906A,南充市委,南充,106.0789,30.8023
257,3643A,李沧区北部,青岛,120.3948,36.1805
258,3515A,开发区一中,滨州,117.9378,37.3553
259,2661A,粮贸总公司,庆阳,107.6406,35.5236
260,1998A,房家坝,句容,119.18,31.955
261,3461A,建设路,天津,117.3045,39.7169
262,3713A,世纪城,四平,124.3285,43.1726
263,2207A,工业园区,阜新,121.6178,41.9967
264,2281A,焦岗湖风景区管理处,淮南,116.7039,32.625
265,2533A,内江二中,内江,105.0653,29.5817
266,1931A,竹园沟,宝鸡,107.0708,34.3017
267,3007A,新城一中,连云港,119.178,34.844
268,2405A,汉画馆,南阳,112.5003,32.9735
269,3479A,召陵区卫健委,漯河,114.0967,33.5906
270,1225A,千岛湖,杭州,119.026,29.635
271,2299A,人大宾馆,滁州,118.3244,32.2786
272,1803A,十里,九江,115.9872,29.6816
273,2877A,坊子邮政,潍坊,119.1638,36.6525
274,3677A,芒市人民政府综合楼,德宏州,98.5890,24.4335
275,1171A,星湖花园,南通,120.94,31.93
276,1423A,解放碑,重庆,106.571,29.5642
277,2497A,龙圩,梧州,111.2353,23.415
278,1895A,兰田宪桥,泸州,105.4322,28.8558
279,2369A,市环境监测站,吉安,114.99,27.1311
280,3610A,昌元,重庆,105.5933,29.4105
281,1189A,黄巷,无锡,120.275,31.6219
282,2430A,刘家沟,十堰,110.7258,32.6389
283,1767A,南山,锦州,121.0986,41.0781
284,2302A,市委党校,阜阳,,
285,1387A,东城主山,东莞,113.7819444,23.05361111
286,1639A,峄城区政府,枣庄,117.5852,34.7745
287,3376A,南苑二区,曲靖,103.7947,25.462
288,3628A,文笔,云浮,112.0336,22.9374
289,1700A,南恩路,阳江,111.9508,21.8536
290,3248A,雄关区,嘉峪关,98.2643,39.7724
291,2500A,防城镇政府,防城港,108.3511,21.7631
292,3574A,井陉矿区区委大楼,石家庄,114.0504658,38.0591645
293,2068A,周口师范,周口,114.6758,33.6347
294,1320A,经开区管委,郑州,113.727,34.7187
295,2394A,油田运输公司,濮阳,115.0628,35.7672
296,2646A,东龙山气象局,商洛,109.966,33.8509
297,1792A,萨尔图区,大庆,125.1386,46.5776
298,3446A,增城荔城,广州,113.8051,23.2614
299,2266A,人和东街,绥化,126.9934,46.6384
300,2518A,市疾控中心,河池,108.1009,24.6967
301,2592A,马坡井小学,黔东南州,,
302,1086A,桃园,太原,112.5369,37.8692
303,1664A,市监测站,威海,122.1067,37.5072
304,1916A,环境监测站,曲靖,103.7897,25.5035
305,1990A,海虞子站,常熟,120.758,31.67
306,1284A,杨桥西路,福州,119.268,26.0797
307,1862A,电子科大尧山校区,桂林,110.4144,25.3167
308,1156A,玄武湖,南京,118.795,32.0775
309,1408A,沙井镇街道办,南宁,108.244,22.7833
310,1734A,技工学校,临汾,111.5028,36.0714
311,3471A,惠济区政府,郑州,113.616563,34.86783
312,2291A,环科院,安庆,117.0549,30.5103
313,3343A,检察院,伊春,128.6871,47.7369
314,2163A,技术学院,晋城,112.8664,35.4894
315,2361A,三川水表,鹰潭,116.9983,28.2169
316,2613A,景洪市江北,西双版纳州,100.8017,22.0225
317,1181A,桃园路,徐州,117.244,34.2911
318,1433A,三瓦窑,成都,104.079,30.5706
319,2233A,江南,松原,124.8292,45.0878
320,1053A,接待中心,保定,115.4713,38.9108
321,1305A,市监测站,济南,117.049,36.6622
322,2379A,采茶剧团,抚州,116.3574,28.0005
323,1631A,人民公园,淄博,118.0482,36.8088
324,2577A,黄土坡,六盘水,104.83,26.5917
325,1397A,睦岗子站,肇庆,112.427,23.0706
326,1649A,刘家园,潍坊,119.0919,36.7306
327,1975A,招远环保局,招远,120.399,37.374
328,2449A,咸安区政府,咸宁,114.2894,29.8539
329,1269A,余庄前,丽水,119.879,28.4231
330,2510A,市监测站,玉林,110.1675,22.6411
331,1595A,奥林花园,鄂尔多斯,109.9734,39.7884
332,1847A,南湖风景区,岳阳,113.1094,29.3578
333,3584A,容城县环境保护局,雄安新区,115.8844,39.0341
334,1719A,市政协,菏泽,115.474722,35.2375
335,3456A,鹿泉一中,石家庄,114.289,38.0906
336,3708A,东方明珠社区,通辽,122.2922,43.6189
337,1202A,环境监测站,镇江,,
338,2002A,宜兴市环保局,宜兴,119.818,31.354
339,3328A,市气象局,芜湖,118.4209,31.3707
340,3654A,精准医疗中心,鄂州,114.8094,30.4089
341,1400A,七星岩子站,肇庆,112.4722,23.0786
342,2474A,兴隆步行街,郴州,113.0119,25.8179
343,1294A,建工学校,南昌,115.852,28.6869
344,1872A,河西水厂,柳州,109.3886,24.3406
345,2346A,陶研所,景德镇,117.2461,29.2956
346,1166A,苏州工业园区,苏州,120.669,31.3097
347,2924A,水乡路(直管站),银川,106.2275,38.44139
348,1418A,虎溪,重庆,106.296,29.5983
349,1492A,新疆农科院农场,乌鲁木齐,87.4754,43.9469
350,1744A,松山一中,赤峰,118.9233,42.2814
351,2218A,银州路东段,铁岭,123.8489,42.2864
352,1038A,物资局,唐山,118.1853,39.6407
353,1364A,葵涌,深圳,114.41,22.6342
